"Jahr";"Ebene";"kkname";"kkkoe";"kgname";"kgkoe";"ggfest";"dggfest";"gg";"dgg";"ggfr";"gg13";"gg14";"gg15";"ggzug";"gebu";"einwohn"
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Stieghorst-Hillegossen";"1902221";4990;-4.02;4990;-3.95;2858;29;27;40;41;42;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6854;;6822;;3911;39;73;56;168;50;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6760;-1.37;6760;-0.91;3884;43;43;78;196;50;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6634;-1.86;6625;-2.00;3811;44;45;43;197;32;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6539;-1.43;6546;-1.19;3768;33;41;46;164;56;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6421;-1.80;6425;-1.85;3692;46;38;43;196;55;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6267;-2.40;6265;-2.49;3623;46;50;38;234;64;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";6084;-2.92;6081;-2.94;3519;35;45;47;242;60;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Schildesche";"1902222";5921;-2.68;5917;-2.70;3412;46;40;46;249;67;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1763;;1755;;1003;19;16;33;89;13;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1744;-1.08;1744;-0.63;984;16;22;16;88;17;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1742;-0.11;1740;-0.23;975;17;16;21;92;8;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1674;-3.90;1676;-3.68;949;12;17;13;40;16;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1777;6.15;1778;6.09;1002;19;17;20;119;24;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1772;-0.28;1771;-0.39;999;19;20;17;120;24;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1763;-0.51;1762;-0.51;991;15;21;20;124;22;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Babenhausen";"1902225";1723;-2.27;1724;-2.16;963;15;17;20;127;11;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";4126;;4107;;2301;43;40;35;20;27;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";4026;-2.42;4026;-1.97;2261;38;41;40;21;18;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3917;-2.71;3912;-2.83;2194;48;37;42;20;31;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3840;-1.97;3844;-1.74;2138;30;44;37;17;41;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3724;-3.02;3726;-3.07;2089;27;31;47;17;31;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3598;-3.38;3597;-3.46;2028;26;26;30;21;40;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3504;-2.61;3506;-2.53;1983;29;25;28;23;43;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Brake";"1902226";3373;-3.74;3374;-3.76;1905;36;29;25;24;24;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1960;;1951;;1065;14;20;11;98;21;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1940;-1.02;1940;-0.56;1061;18;15;21;102;16;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1912;-1.44;1909;-1.60;1042;14;19;16;110;17;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1893;-0.99;1895;-0.73;1043;12;17;20;94;14;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1854;-2.06;1855;-2.11;1031;15;11;18;123;18;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1890;1.94;1889;1.83;1054;14;18;12;141;15;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1842;-2.54;1842;-2.49;1018;17;14;19;142;20;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Dornberg";"1902227";1799;-2.33;1799;-2.33;986;13;17;14;142;20;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1817;;1809;;1033;25;26;23;136;14;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1785;-1.76;1785;-1.33;1020;22;27;27;132;13;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1778;-0.39;1776;-0.50;1008;17;22;27;124;8;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1751;-1.52;1753;-1.30;989;16;17;23;109;14;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1716;-2.00;1717;-2.05;968;28;19;25;137;12;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1674;-2.45;1674;-2.50;949;14;27;21;159;14;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1608;-3.94;1608;-3.94;901;22;15;27;152;21;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Hoberge-Uerentrup";"1902231";1588;-1.24;1586;-1.37;899;14;25;16;155;15;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3368;;3352;;1864;45;40;49;127;21;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3297;-2.11;3297;-1.64;1832;28;43;38;128;14;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3251;-1.40;3247;-1.52;1804;31;34;49;131;11;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3167;-2.58;3171;-2.34;1776;32;34;35;117;23;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3105;-1.96;3107;-2.02;1734;26;33;35;139;39;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";3055;-1.61;3054;-1.71;1702;23;28;34;140;37;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";2980;-2.45;2978;-2.49;1669;17;25;30;134;36;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Ubbedissen";"1902236";2898;-2.75;2897;-2.72;1626;33;19;24;129;31;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1215;;1209;;671;13;24;21;9;7;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1185;-2.47;1185;-1.99;662;8;12;25;9;9;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1147;-3.21;1145;-3.38;645;11;7;12;9;7;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1157;0.87;1158;1.14;642;14;13;9;9;13;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1129;-2.42;1130;-2.42;638;6;15;13;8;9;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1136;0.62;1136;0.53;634;9;7;18;8;5;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1096;-3.52;1096;-3.52;616;12;9;5;9;12;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Schröttinghausen";"1902238";1060;-3.28;1060;-3.28;592;11;16;10;9;13;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3536;;3520;;1878;23;25;31;236;12;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3455;-2.29;3455;-1.85;1854;20;23;23;262;7;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3358;-2.81;3354;-2.92;1791;18;22;26;268;4;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bethel-Zion";"1902239";3172;-5.54;3176;-5.31;1698;12;17;22;223;8;
