"kgkoe";"ggfest";"dggfest"
"1903118";17.436;-2,37
"1903118";17.005;-2,47
"1903118";16.537;-2,75
"1903119";24.212;-0,77
"1903119";23.875;-1,39
"1903119";23.634;-1,01
"1903119";23.199;-1,84
"1903119";22.819;-1,64
"1903119";22.384;-1,91
"1903119";22.018;-1,64
"1903201";4.589;-1,50
"1903201";4.568;-0,46
"1903201";4.520;-1,05
"1903201";4.462;-1,28
"1903201";4.402;-1,34
"1903201";4.322;-1,82
"1903201";4.263;-1,37
"1903203";2.934;0,38
"1903203";2.965;1,06
"1903203";2.849;-3,91
"1903203";2.873;0,84
"1903203";2.794;-2,75
"1903203";2.735;-2,11
"1903203";2.686;-1,79
"1903204";4.283;0,28
"1903204";4.238;-1,05
"1903204";4.209;-0,68
"1903204";4.175;-0,81
"1903204";4.099;-1,82
"1903204";3.993;-2,59
"1903204";3.860;-3,33
"1903205";22.298;-1,96
"1903205";21.860;-1,96
"1903205";21.489;-1,70
"1903205";21.151;-1,57
"1903205";20.607;-2,57
"1903205";20.040;-2,75
"1903205";19.509;-2,65
"1903207";3.528;0,03
"1903207";3.434;-2,66
"1903207";3.375;-1,72
"1903207";3.324;-1,51
"1903207";3.259;-1,96
"1903207";3.183;-2,33
"1903207";3.097;-2,70
"1903208";2.716;-1,81
"1903208";2.655;-2,25
"1903208";2.574;-3,05
"1903208";2.527;-1,83
"1903208";2.472;-2,18
"1903208";2.401;-2,87
"1903208";2.379;-0,92
"1903209";5.132;-0,83
"1903209";5.060;-1,40
"1903209";4.981;-1,56
"1903209";4.891;-1,81
"1903209";4.818;-1,49
"1903209";4.740;-1,62
"1903209";4.678;-1,31
"1903212";3.731;-0,90
"1903212";3.718;-0,35
"1903212";3.698;-0,54
"1903212";3.696;-0,05
"1903212";3.667;-0,78
"1903212";3.654;-0,35
"1903212";3.644;-0,27
"1903218";4.647;-1,78
"1903218";4.650;0,06
"1903218";4.683;0,71
"1903218";4.591;-1,96
"1903218";4.541;-1,09
"1903218";4.447;-2,07
"1903218";4.385;-1,39
"1903219";1.876;0,11
"1903219";1.827;-2,61
"1903219";1.852;1,37
"1903219";1.814;-2,05
"1903219";1.833;1,05
"1903219";1.812;-1,15
"1903219";1.773;-2,15
"1903221";14.052;-1,93
"1903221";13.852;-1,42
"1903221";13.624;-1,65
"1903221";13.356;-1,97
"1903221";13.165;-1,43
"1903221";12.947;-1,66
"1903221";12.626;-2,48
"1903222";6.166;-2,56
"1903222";6.006;-2,59
"1903222";5.855;-2,51
"1903222";5.615;-4,10
"1903222";5.470;-2,58
"1903222";5.296;-3,18
"1903222";5.117;-3,38
"1903223";6.477;-0,89
"1903223";6.426;-0,79
"1903223";6.306;-1,87
"1903223";6.279;-0,43
"1903223";6.201;-1,24
"1903223";6.107;-1,52
"1903223";6.077;-0,49
"1903224";4.636;-1,74
"1903224";4.578;-1,25
"1903224";4.504;-1,62
"1903224";4.387;-2,60
"1903224";4.264;-2,80
"1903224";4.175;-2,09
"1903224";4.025;-3,59
"1903225";7.153;-1,58
"1903225";7.080;-1,02
"1903225";6.926;-2,18
"1903225";6.751;-2,53
"1903225";6.560;-2,83
"1903225";6.327;-3,55
"1903225";6.170;-2,48
"1903226";6.529;-2,35
"1903226";6.378;-2,31
"1903226";6.219;-2,49
"1903226";6.096;-1,98
"1903226";5.911;-3,03
"1903226";5.802;-1,84
"1903226";5.574;-3,93
"1903227";2.980;-2,96
"1903227";2.918;-2,08
"1903227";2.832;-2,95
"1903227";2.784;-1,69
"1903227";2.719;-2,33
"1903227";2.626;-3,42
"1903227";2.605;-0,80
"1903303";5.227;-1,90
"1903303";5.159;-1,30
"1903303";5.037;-2,36
"1903303";4.938;-1,97
"1903303";4.833;-2,13
"1903303";4.729;-2,15
"1903303";4.640;-1,88
"1903304";3.297;-2,14
"1903304";3.218;-2,40
"1903304";3.156;-1,93
"1903304";3.079;-2,44
"1903304";3.003;-2,47
"1903304";2.905;-3,26
"1903304";2.806;-3,41
"1903305";2.350;0,13
"1903305";2.286;-2,72
"1903305";2.286;0,00
"1903305";2.252;-1,49
"1903305";2.211;-1,82
"1903305";2.137;-3,35
"1903305";2.108;-1,36
"1903306";3.602;-1,83
"1903306";3.591;-0,31
"1903306";3.517;-2,06
"1903306";3.411;-3,01
"1903306";3.315;-2,81
"1903306";3.262;-1,60
"1903306";3.153;-3,34
"1903310";8.185;-0,84
"1903310";7.991;-2,37
"1903310";7.697;-3,68
"1903310";7.465;-3,01
"1903310";7.239;-3,03
"1903310";7.039;-2,76
"1903310";6.867;-2,44
"1903313";2.520;-0,32
"1903313";2.495;-0,99
"1903313";2.489;-0,24
"1903313";2.482;-0,28
"1903313";2.457;-1,01
"1903313";2.436;-0,85
"1903313";2.389;-1,93
"1903315";3.949;-0,68
"1903315";3.859;-2,28
"1903315";3.757;-2,64
"1903315";3.571;-4,95
"1903315";3.437;-3,75
"1903315";3.388;-1,43
"1903315";3.331;-1,68
"1903319";10.011;-1,50
"1903319";9.747;-2,64
"1903319";9.417;-3,39
"1903319";9.181;-2,51
"1903319";8.888;-3,19
"1903319";8.603;-3,21
"1903319";8.297;-3,56
"1903320";3.801;-2,59
"1903320";3.723;-2,05
"1903320";3.756;0,89
"1903320";3.702;-1,44
"1903320";3.583;-3,21
"1903320";3.524;-1,65
"1903320";3.446;-2,21
"1903323";2.785;-0,29
"1903323";2.768;-0,61
"1903323";2.714;-1,95
"1903323";2.630;-3,10
"1903323";2.565;-2,47
"1903323";2.489;-2,96
"1903323";2.455;-1,37
"1903324";33;17,86
"1903324";31;-6,06
"1903324";31;0,00
"1903324";30;-3,23
"1903324";32;6,67
"1903324";31;-3,13
"1903324";29;-6,45
"1903328";4.414;-1,82
"1903328";4.356;-1,31
"1903328";4.266;-2,07
"1903328";4.260;-0,14
"1903328";4.218;-0,99
"1903328";4.154;-1,52
"1903328";4.124;-0,72
"1903329";2.322;-3,73
"1903329";2.304;-0,78
"1903329";2.239;-2,82
"1903329";2.218;-0,94
"1903329";2.175;-1,94
"1903329";2.118;-2,62
"1903329";2.080;-1,79
"1903330";4.898;-2,16
"1903330";4.777;-2,47
"1903330";4.675;-2,14
"1903330";4.591;-1,80
"1903330";4.462;-2,81
"1903330";4.327;-3,03
"1903330";4.172;-3,58
"1903331";12.959;-1,92
"1903331";12.701;-1,99
"1903331";12.370;-2,61
"1903331";12.213;-1,27
"1903331";11.852;-2,96
"1903331";11.448;-3,41
"1903331";11.160;-2,52
"1903381";1.091;-2,76
"1903381";1.059;-2,93
"1903381";1.113;5,10
"1903381";983;-11,68
"1903381";929;-5,49
"1903381";881;-5,17
"1903381";853;-3,18
"1903401";1.324;-2,22
"1903401";1.307;-1,28
"1903401";1.249;-4,44
"1903401";1.266;1,36
"1903401";1.235;-2,45
"1903401";1.205;-2,43
"1903401";1.190;-1,24
"1903402";4.077;-1,12
"1903402";3.962;-2,82
"1903402";3.889;-1,84
"1903402";3.852;-0,95
"1903402";3.784;-1,77
"1903402";3.734;-1,32
"1903402";3.661;-1,96
"1903403";2.041;-1,35
"1903403";2.022;-0,93
"1903403";1.991;-1,53
"1903403";2.010;0,95
"1903403";1.974;-1,79
"1903403";1.934;-2,03
"1903403";1.870;-3,31
"1903404";10.524;-0,98
"1903404";10.365;-1,51
"1903404";10.304;-0,59
"1903404";10.159;-1,41
"1903404";9.913;-2,42
"1903404";9.658;-2,57
"1903404";9.428;-2,38
"1903405";3.758;0,13
"1903405";3.727;-0,82
"1903405";3.693;-0,91
"1903405";3.651;-1,14
"1903405";3.582;-1,89
"1903405";3.557;-0,70
"1903405";3.486;-2,00
"1903406";8.340;-2,06
"1903406";8.189;-1,81
"1903406";8.042;-1,80
"1903406";7.886;-1,94
"1903406";7.648;-3,02
"1903406";7.443;-2,68
"1903406";7.212;-3,10
"1903407";10.449;-1,48
"1903407";10.270;-1,71
"1903407";10.045;-2,19
"1903407";9.926;-1,18
"1903407";9.721;-2,07
"1903407";9.545;-1,81
"1903407";9.332;-2,23
"1903408";6.210;-2,51
"1903408";6.185;-0,40
"1903408";6.242;0,92
"1903408";5.902;-5,45
"1903408";5.780;-2,07
"1903408";5.640;-2,42
"1903408";5.560;-1,42
"1903501";11.133;-1,97
"1903501";10.847;-2,57
"1903501";10.787;-0,55
"1903501";10.535;-2,34
"1903501";10.334;-1,91
"1903501";10.034;-2,90
"1903501";9.767;-2,66
"1903503";7.973;-0,87
"1903503";7.898;-0,94
"1903503";7.795;-1,30
"1903503";7.560;-3,01
"1903503";7.458;-1,35
"1903503";7.251;-2,78
"1903503";7.110;-1,94
"1903504";7.435;-1,78
"1903504";7.349;-1,16
"1903504";7.298;-0,69
"1903504";7.164;-1,84
"1903504";6.980;-2,57
"1903504";6.798;-2,61
"1903504";6.651;-2,16
"1903507";13.457;-1,30
"1903507";13.096;-2,68
"1903507";12.873;-1,70
"1903507";12.350;-4,06
"1903507";12.028;-2,61
"1903507";11.664;-3,03
"1903507";11.363;-2,58
"1903508";4.408;-1,39
"1903508";4.340;-1,54
"1903508";4.333;-0,16
"1903508";4.189;-3,32
"1903508";4.067;-2,91
"1903508";3.973;-2,31
"1903508";3.895;-1,96
"1903509";4.631;-1,15
"1903509";4.514;-2,53
"1903509";4.455;-1,31
"1903509";4.308;-3,30
"1903509";4.192;-2,69
"1903509";4.117;-1,79
"1903509";4.040;-1,87
"1903514";2.283;1,74
"1903514";2.258;-1,10
"1903514";2.276;0,80
"1903514";2.250;-1,14
"1903514";2.236;-0,62
"1903514";2.275;1,74
"1903514";2.221;-2,37
"1903516";8.164;-0,81
"1903516";8.249;1,04
"1903516";8.197;-0,63
"1903516";8.023;-2,12
"1903516";7.915;-1,35
"1903516";7.860;-0,69
"1903516";7.627;-2,96
"1903520";5.828;-1,69
"1903520";5.733;-1,63
"1903520";5.640;-1,62
"1903520";5.484;-2,77
"1903520";5.426;-1,06
"1903520";5.317;-2,01
"1903520";5.235;-1,54
"1903521";5.276;-1,86
"1903521";5.206;-1,33
"1903521";5.197;-0,17
"1903521";5.171;-0,50
"1903521";5.054;-2,26
"1903521";4.944;-2,18
"1903521";4.878;-1,33
"1903522";5.695;-0,02
"1903522";5.705;0,18
"1903522";5.710;0,09
"1903522";5.610;-1,75
"1903522";5.452;-2,82
"1903522";5.413;-0,72
"1903522";5.312;-1,87
"1903523";6.534;-1,13
"1903523";6.421;-1,73
"1903523";6.412;-0,14
"1903523";6.231;-2,82
"1903523";6.138;-1,49
"1903523";5.955;-2,98
"1903523";5.857;-1,65
"1903601";6.199;-1,68
"1903601";6.046;-2,47
"1903601";5.974;-1,19
"1903601";5.809;-2,76
"1903601";5.636;-2,98
"1903601";5.416;-3,90
"1903601";5.292;-2,29
"1903603";3.910;-3,03
"1903603";3.856;-1,38
"1903603";3.792;-1,66
"1903603";3.714;-2,06
"1903603";3.615;-2,67
"1903603";3.511;-2,88
"1903603";3.382;-3,67
"1903605";6.160;-1,31
"1903605";5.996;-2,66
"1903605";5.945;-0,85
"1903605";5.738;-3,48
"1903605";5.561;-3,08
"1903605";5.456;-1,89
"1903605";5.259;-3,61
"1903606";2.938;-2,94
"1903606";2.873;-2,21
"1903606";2.817;-1,95
"1903606";2.773;-1,56
"1903606";2.733;-1,44
"1903606";2.665;-2,49
"1903606";2.564;-3,79
"1903607";5.118;-2,72
"1903607";5.037;-1,58
"1903607";5.004;-0,66
"1903607";4.935;-1,38
"1903607";4.786;-3,02
"1903607";4.662;-2,59
"1903607";4.527;-2,90
"1903608";7.233;-1,46
"1903608";7.060;-2,39
"1903608";6.877;-2,59
"1903608";6.779;-1,43
"1903608";6.542;-3,50
"1903608";6.329;-3,26
"1903608";6.171;-2,50
"1903609";1.852;-2,32
"1903609";1.833;-1,03
"1903609";1.776;-3,11
"1903609";1.775;-0,06
"1903609";1.732;-2,42
"1903609";1.724;-0,46
"1903609";1.699;-1,45
"1903610";1.968;-1,94
"1903610";1.952;-0,81
"1903610";1.698;-13,01
"1903610";1.911;12,54
"1903610";1.886;-1,31
"1903610";1.900;0,74
"1903610";1.869;-1,63
"1903611";2.432;-2,21
"1903611";2.422;-0,41
"1903611";2.360;-2,56
"1903611";2.329;-1,31
"1903611";2.299;-1,29
"1903611";2.240;-2,57
"1903611";2.200;-1,79
"1903613";3.570;-1,95
"1903613";3.547;-0,64
"1903613";3.534;-0,37
"1903613";3.471;-1,78
"1903613";3.403;-1,96
"1903613";3.303;-2,94
"1903613";3.215;-2,66
"1903614";3.501;-0,88
"1903614";3.441;-1,71
"1903614";3.388;-1,54
"1903614";3.305;-2,45
"1903614";3.264;-1,24
"1903614";3.204;-1,84
